Course,Title,CRN,Credits,Max Enrl,Cur Enrl,Remain Seats,Begin Time,End Time,Days,Bldg,Room,Instructor,Comments,Department,Last Taught
EE 314, Nonlinear System Theory,14695,3,15,13,2, 08:00, 09:15, M W, VOTEY,361, Ossareh H, Prereqs enforced by the system: EE 201  or MATH 230,ELECTRICAL--ENGINEERING,Spring 2019
EE 371, Estimation Theory,14851,3,15,7,8, 10:05, 11:20, T R, VOTEY,223, Duffaut Espino, Prereqs enforced by the system: STAT  151,ELECTRICAL--ENGINEERING,Spring 2020
EE 393, Graduate Seminar,93072,1,25,6, 19*XL, 01:10, 02:00, F, REMOTE, COURSE, Duffaut Espino, Cross listed with BME 393 A,ELECTRICAL--ENGINEERING,Fall 2020
EE 395, Convex Optimization,95847,3,15,19,-4, 10:05, 11:20, T R, ROWELL,110, Almassalkhi M,,ELECTRICAL--ENGINEERING,Fall 2018
EMGT 201, Engineering Project Management,94597,3,17,12, 0*XL, 06:00, 07:15, T R, VOTEY,303, Burkman K, Cross listed with ME 295 A and CE 295 B  Open to Degree and CDE students,ENGINEERING--MANAGEMENT,Fall 2020
EMGT 295, Practical Management Science,15472,3,15,9,6, 10:50, 11:40, M W F, COHEN,119, Burkman K, Laptops will be used in this section,ENGINEERING--MANAGEMENT,Spring 2020
ENGR 001, First-Year Design Experience,12525,3,18,7,11, 05:05, 08:05, W, ONCMP, SEE NOTES, Stapleton J, Instructor permission required;  Non-degree students only even after  level restrictions removed; Contact  department for location,ENGINEERING,Spring 2020
ENGR 002, Graphical Communication,90558,2,163,104,59, 08:30, 09:45, T, REMOTE, COURSE, Rossi V, Must also register for lab section  L01-L08; Open to Degree and CDE  students,ENGINEERING,Fall 2020
ENGR 010, D1:Dvrsty Issues:Math/Sci/Egr,91293,3,32,32,0, 01:15, 02:30, T R, REMOTE, COURSE, Mathon B, CEMS students only,ENGINEERING,Fall 2020
ENGR 050, First Year Engineering Seminar,92833,1,48,46,2, 01:10, 02:00, M, INNOV, E204, Peryea B," First-time, first-year students in  engineering only; Must register for lab  L01",ENGINEERING,Fall 2019
ENGR 095, AutoCAD,96389,1,1,1, 0*XL, 11:40, 12:55, T, VOTEY,105, Rossi V, Instructor permission required,ENGINEERING,Fall 2016
ENGR 101, Engineering Communications,91701,3,22,13,9, 11:40, 12:55, T R, HILLS,228, Peryea B,,ENGINEERING,Fall 2019
ENGR 112, Building Information Modeling,13331, 1.00-3.00,40,41,-1, 11:40, 12:55, T R, INNOV, E204, Rossi V, Prereqs enforced by the system: ENGR  002,ENGINEERING,Spring 2020
ENGR 114, Advanced 3D Drafting,93605,3,43,32, 10*XL, 09:25, 10:40, M W, LAFAYE, L207, Rossi V, Prereqs enforced by the system: ENGR  002; Open to Degree and CDE students,ENGINEERING,Fall 2020
ENGR 116, Virtual Instrument Engineering,13333, 1.00-3.00,32,13, 6*XL, 10:50, 11:40, M W F, VOTEY,332, Rossi V  Kay J, Prereqs enforced by the system: ENGR  002; Cross listed with EE 195; Total  combined enrollment: 32,ENGINEERING,Spring 2020
ENGR 195, Civil 3-D,15421,1,32,21,11, 04:25, 05:15, R, VOTEY,229, Rossi V,,ENGINEERING,Spring 2020
ENGR 396, Technical Wrtng for Engineers,15994,3,15,4,11, 04:25, 05:40, T R, VOTEY,361, Giles C, Graduate students only,ENGINEERING,Spring 2019
ENGS 001, FW:Written Expression,92764,3,22,20,2, 08:30, 09:20, M W F, OMANEX, A200, Williamson J, Non CAS new first year students only  until August 1st then all non CAS first  year and sophomores students,ENGLISH,Fall 2020
ENGS 002, FW:Written Expression Theme,93598,3,22,21,1, 08:30, 09:45, T R, WATERM,413, Vaccaro C," Sophomores, juniors and seniors only",ENGLISH,Fall 2020
ENGS 005, SL:FW:TAP: DangerofSingleStory,93350,3,19,19,0, 11:40, 12:55, T R, ROWELL,110, Turner S, CAS first time first year students only;  Service Learning,ENGLISH,Fall 2020
ENGS 013, Introduction to Fiction,93821,3,35,33,2, 01:10, 02:00, M W F, L/L-A, A101, Noel D, Open to degree and CDE students,ENGLISH,Fall 2018
ENGS 014, Introduction to Poetry,95542,3,33,32, 1*XL, 01:15, 02:30, T R, REMOTE, COURSE, Cates I, Degree students only even after level  restrictions removed; CDE students  register for ENGS 014 ZRA,ENGLISH,Fall 2020
ENGS 021, Seminar in British Lit I,91284,3,22,20,2, 10:50, 11:40, M W F, REMOTE, COURSE, Sisk J, Open to Degree and CDE students,ENGLISH,Fall 2020
ENGS 022, Seminar in British Lit II,95512,3,22,22,0, 01:15, 02:30, T R, VOTEY,307, Alexander S, Open to Degree and CDE students,ENGLISH,Fall 2020
ENGS 023, Seminar in American Lit I,94282,3,18,18,0, 10:50, 11:40, M W F, HILLS,228, Williamson J, Open to Degree and CDE students,ENGLISH,Fall 2020
ENGS 024, Seminar in American Lit II,95513,3,22,20,2, 01:10, 02:00, M W F, REMOTE, COURSE, Kete M, Open to Degree and CDE students,ENGLISH,Fall 2020
ENGS 027, IHPLit of Westn Trad I:Int Hum,91734,3,24,23,1, 02:50, 04:05, T R, L/L-B, B132, Simone R, CAS first time first year students only;  IHP students only; Co-reqs: HST 013 and  REL 027; Instructor Permission,ENGLISH,Fall 2017
ENGS 028, HS: Lit of Western Tradition,11262,3,30,20,10, 11:40, 12:55, T R, L/L-A, A101, Simone R, Humanities Scholars only; CAS students  only; Instructor permission required;,ENGLISH,Spring 2019
ENGS 030, Films of Stephen King,94283,3,38,37, 1*XL, 12:00, 12:50, M W F, ALUMSP,142, Magistrale A, Degree students only even after level  restrictions removed; CDE students  register for ENGS 030 ZRB,ENGLISH,Fall 2020
ENGS 031, D1:AfricanAm Writers Then&Now,95853,3,35,33,2, 01:15, 02:30, T R, PERKIN,200, Turner S, Open to Degree and CDE students,ENGLISH,Fall 2019
ENGS 032, Jane Austen,15706,3,40,18, 19*XL, 01:10, 02:00, M W F, LAFAYE, L300, Lindstrom E, Cross listed with GSWS 096; Open to  degree and CDE students,ENGLISH,Spring 2018
ENGS 040, Harry Potter,94431,3,34,38, -5*XL, 10:05, 11:20, T R, REMOTE, COURSE, Painter H, Degree students only even after level  restrictions removed; CDE students  register for ENGS 040 ZRA,ENGLISH,Fall 2020
ENGS 041, British Crime Fiction,15316,3,35,31,4, 02:20, 03:10, M W F, LAFAYE, L311, McLaughlin R, Open to degree and CDE students,ENGLISH,Spring 2018
ENGS 042, Women in Literature,15656,3,35,26, 2*XL, 01:15, 02:30, T R, LAFAYE, L107, Ljung-Baruth, Cross listed with GSWS 042; Open to  degree and CDE students,ENGLISH,Spring 2019
ENGS 050, The Art of the Essay,93400,3,15,14, 1*XL, 01:10, 02:00, M W F, LAFAYE, L210, Cramer S, Minimum sophomore standing,ENGLISH,Fall 2020
ENGS 051, Writing Science&Sustainability,94284,3,16,16, 0*XL, 01:15, 02:30, T R, ML SCI,105, Grosvenor J, Minimum Sophomore standing,ENGLISH,Fall 2020
ENGS 053, Intro to Creative Writing,94301,3,18,16,2, 08:30, 09:45, T R, REMOTE, COURSE, Jackson D, Minimum Sophomore Standing,ENGLISH,Fall 2020
ENGS 057, D1:Race&Ethnic Lit Stds:Intro,93405,3,40,38,2, 10:05, 11:20, T R, INNOV, E102, Losambe L, Open to Degree and CDE students,ENGLISH,Fall 2020
ENGS 061, D2:Intro to African Literature,15440,3,40,17,23, 10:50, 11:40, M W F, ML SCI,107, Losambe L,,AFRICAN--STUDIES,Spring 2018
ENGS 081, Structure of English Language,15301,3,25,5, -1*XL, 01:10, 02:00, M W F, LAFAYE, L308, Popa D, Cross listed with LING 081; Open to  Degree and CDE students total combined  enrollment = 25,ENGLISH,Spring 2020
ENGS 085, Intro to Literary Studies,14125,3,22,13,9, 11:40, 12:55, T R, LAFAYE, L107, Kete M,,ENGLISH,Spring 2019
ENGS 086, Critical Approaches to Lit,11965,3,30,30,0, 01:15, 02:30, T R, OMANEX, A200, Witters S,,ENGLISH,Spring 2016
ENGS 089, Careers and English:What Next?,13776,1,20,7,13, 09:40, 10:30, M W, L/L-A, A101, Harrington S,,ENGLISH,Spring 2016
ENGS 095, Bible as Literature,96054,3,31,20, 9*XL, 01:15, 02:30, T R, L/L CM,315, Barnaby A, Open to Degree and CDE students,ENGLISH,Fall 2020
ENGS 096, The Films of Stephen King,15704,3,75,76,-1, 02:50, 04:05, T R, LAFAYE, L207, Magistrale A, Open to degree and CDE students,ENGLISH,Spring 2018
ENGS 100, Literary Theory,92522,3,30,26,4, 02:50, 04:05, T R, BLLNGS, LH, Turner S, Minimum Sophomore standing,ENGLISH,Fall 2020
ENGS 102, Hist of English Language,15443,3,30,23,7, 04:25, 05:40, T R, LAFAYE, L411, Vaccaro C, Prereqs enforced by the system: 3 hrs  ENGS between 005-096 and minimum  sophomore standing,ENGLISH,Spring 2018
ENGS 104, Tutoring Writing,91286,3,20,17, 3*XL, 10:50  10:50, 11:40  11:40, M F  W, REMOTE  KALKIN, COURSE  004, Chira S, Prereqs enforced by the system: Three  hours in ENGS courses numbered ENGS 005  - ENGS 096; Instructor permission,ENGLISH,Fall 2020
ENGS 105, Exploring Writing Centers,11174,3,21,19,2, 10:50, 11:40, M W F, L/L-A, A162, Chira S, Prereqs enforced by the system: 3 hrs  ENGS between 005-096; Instructor  permission required,ENGLISH,Spring 2020
ENGS 107, Rhetorics of Food,95973,3,21,22,-1, TBA, TBA,, ONLINE, COURSE, Miles E," Prereqs enforced by the system: ENGS  050, ENGS 051, or ENGS 053; Minimum  Sophomore standing",ENGLISH,Fall 2020
ENGS 111, D1:Race & Ethnic in Lit Stdies,95495,3,40,39,1, 12:00, 12:50, M W F, LAFAYE, L200, Huh J,,CRITICAL--RACE--&--ETHNIC--STUDIES,Fall 2019
ENGS 112, Black Identities,95255,3,40,10, 27*XL, 01:15, 02:30, T R, BLLNGS, MLK, Losambe L,,AFRICAN--STUDIES,Fall 2017
ENGS 113, Films of Stephen King,13846,3,40,40,0, 01:15, 02:30, T R, LAFAYE, L311, Magistrale A, Prereqs enforced by the system: 3 hrs  ENGS between 005-096 and Sophomore  Standing,ENGLISH,Spring 2017
ENGS 114, Documentary Essay,93403,3,22,22,0, 09:40, 10:30, M W F, VOTEY,303, Bottoms G, Prereqs enforced by the system: ENGS  050 or 051 or 053; Minimum Sophomore  standing,ENGLISH,Fall 2020
ENGS 117, Advanced Creative Nonfiction,93404,3,22,21,1, 12:00, 12:50, M W F, VOTEY,205, Bottoms G, Prereqs enforced by the system: ENGS  050 or 051 or 053; Minimum Sophomore  standing,ENGLISH,Fall 2020
ENGS 118, Advanced Writing: Fiction,96106,3,22,22,0, 01:10, 02:00, M W F, REMOTE, COURSE, Hummel M, Prereqs enforced by the system: ENGS  053; Minimum Sophomore standing,ENGLISH,Fall 2020
ENGS 119, Advanced Writing: Poetry,95531,3,22,21,1, 11:40, 12:55, T R, REMOTE, COURSE, Jackson M, Prereqs enforced by the system: ENGS  053; Minimum Sophomore standing.,ENGLISH,Fall 2020
ENGS 120, Writer's Workshop,15444,3,22,21,1, 12:00, 12:50, M W F, LAFAYE, L311, Jackson M, Prereqs enforced by the system: ENGS  053; and Minimum Sophomore standing,ENGLISH,Spring 2018
ENGS 131, The Exodus & its Aftermath,95532,3,27,15, 12*XL, 10:05, 11:20, T R, ROWELL,102, Barnaby A, Prereqs enforced by the system: three  hours in ENGS courses ENGS 005 - ENGS  096; Minimum sophomore standing; Cross  listed with JS 196; Total combined  enrollment = 30,ENGLISH,Fall 2020
ENGS 133, Chaucer,14328,3,40,26,14, 11:40, 12:55, T R, ML SCI,107, Sisk J, Prereqs enforced by the system: 3 hrs  ENGS between 005-096; and Minimum  Sophomore standing,ENGLISH,Spring 2020
ENGS 134, Beowulf,95527,3,30,25,5, 11:40, 12:55, T R, WATERM,457, Vaccaro C, Prereqs enforced by the system: Three  hours in ENGS courses numbered ENGS 005  - ENGS 096; minimum Sophomore standing,ENGLISH,Fall 2018
ENGS 135, Shakespeare,95557,3,40,37,3, 02:50, 04:05, T R, LAFAYE, L100, Barnaby A, Prereqs enforced by the system: 3 hours  in English; Minimum Sophomore standing,ENGLISH,Fall 2016
ENGS 136, Theater&Soc:Shakespeare's Engl,96055,3,36,26, 7*XL, 01:15, 02:30, T R, WATERM,413, Schnell L, Prereqs enforced by the system: three  hours in ENGS courses ENGS 005 - ENGS  096; Minimum sophomore standing,ENGLISH,Fall 2020
ENGS 137, Hot Protestants,95335,3,40,20,20, 10:50, 11:40, M W F, LAFAYE, L210, Fenton E, Prereqs enforced by the system: Three  hours in ENGS courses ENGS 005 - ENGS  096; Minimum Sophomore standing,ENGLISH,Fall 2018
ENGS 138, Milton,95498,3,40,26,14, 01:15, 02:30, T R, LAFAYE, L210, Schnell L, Prereqs enforced by the system: three  hours in ENGS courses ENGS 005 - ENGS  096; Minimum sophomore standing,ENGLISH,Fall 2019
ENGS 141, Restoration & 18thC Literature,95259,3,40,19,21, 11:40, 12:55, T R, LAFAYE, L102, Baruth P, Prereqs enforced by the system: Three  hours in ENGS courses ENGS 005 - ENGS  096; Sophomore standing.,ENGLISH,Fall 2017
ENGS 143, Origins of Science Fiction,96115,3,40,32,8, 02:50, 04:05, T R, INNOV, E102, Alexander S, Prereqs enforced by the system: Three  hours in English courses numbered: ENGS  005 - ENGS 096; Minimum sophomore  standing,ENGLISH,Fall 2020
ENGS 144, Romanticism: Writing the Self,95260,3,40,20,20, 01:15, 02:30, T R, MORRIL,10, Lindstrom E, Prereqs enforced by the system: Three  hours in ENGS courses ENGS 005 - ENGS  096; Sophomore standing.,ENGLISH,Fall 2017
ENGS 145, The Victorian Novel,95503,3,40,23,17, 11:40, 12:55, T R, PERKIN,3, Alexander S, Prereqs enforced by the system: three  hours in ENGS courses ENGS 005 - ENGS  096; Minimum sophomore standing,ENGLISH,Fall 2019
ENGS 150, The Early US Novel,95499,3,40,38,2, 10:50, 11:40, M W F, LAFAYE, L210, Fenton E, Prereqs enforced by the system: three  hours in ENGS courses ENGS 005 - ENGS  096; Minimum sophomore standing,ENGLISH,Fall 2019
ENGS 151, 19th Century American Poetry,15304,3,40,19,21, 01:15, 02:30, T R, VOTEY,254, Gutman H, Prereqs enforced by the system: 3 hrs  ENGS between 005-096 and Minimum  Sophomore Standing,ENGLISH,Spring 2017
ENGS 152, 19th Century American Fiction,95547,3,39,38,1, 12:00, 12:50, M W F, REMOTE, COURSE, Rohy V, Prereqs enforced by the system: three  hours in ENGS courses ENGS 005 - ENGS  096; Minimum sophomore standing,ENGLISH,Fall 2020
ENGS 156, Edgar Allan Poe,95548,3,30,25, 5*XL, 02:20, 03:10, M W F, WATERM,338, Magistrale A, Prereqs enforced by the system: three  hours in ENGS courses ENGS 005 - ENGS  096; Minimum sophomore standing,ENGLISH,Fall 2020
ENGS 158, Representing Women,15650,3,40,39, 0*XL, 02:50, 04:05, T R, LAFAYE, L210, Kete M, Prereqs enforced by the system: 3 hrs  ENGS between 005-096; and Minimum  Sopho9more standing; Cross listed with  GSWS 142 A,ENGLISH,Spring 2019
ENGS 160, D1:Afr Am Lit &Cul Before 1900,15306,3,40,10, 29*XL, 01:15, 02:30, T R, LAFAYE, L102, Kete M, Prereqs enforced by the system: 3 hrs  ENGS between 005-096 and Minimum  Sophomore Standing,ENGLISH,Spring 2017
ENGS 161, 20th-Century British Novel,15749,3,40,34,6, 11:40, 12:55, T R, LAFAYE, L200, Fogel D, Prereqs enforced by the system: 3 hrs  ENGS between 005-096,ENGLISH,Spring 2016
ENGS 163, ItalianAmer Lit & Culture,95500,3,40,37,3, 12:00, 12:50, M W F, LAFAYE, L300, Gennari J,,CRITICAL--RACE--&--ETHNIC--STUDIES,Fall 2019
ENGS 164, Modern Poetry,95968,3,29,23,6, 10:05, 11:20, T R, REMOTE, COURSE, Cates I, Prereqs enforced by the system: three  hours in ENGS courses ENGS 005 - ENGS  096; Minimum sophomore standing,ENGLISH,Fall 2020
ENGS 167," Woolf, Faulkner, Morrison",15273,3,30,30,0, 02:50, 04:05, T R, WATERM,401, Turner S, Prereqs enforced by the system: 3 hrs  ENGS between 005-096; Minimum sophomore  standing,ENGLISH,Spring 2020
ENGS 168, Postmodern Am. Lit & Culture,15274,3,80,62,18, 04:05, 07:05, M, STAFFO,101, Baruth P, Prereqs enforced by the system: 3 hrs  ENGS between 005-096; Minimum sophomore  standing,ENGLISH,Spring 2020
ENGS 176, D1:Afr Am Lit Since Harlem Ren,95535,3,25,29,-4, 10:05, 11:20, T R, REMOTE, COURSE, Bernard E, Prereqs enforced by the system: three  hours in ENGS courses ENGS 005 - ENGS  096; Minimum sophomore standing,ENGLISH,Fall 2020
ENGS 177, D1:Jazz & Cultural Imagination,12871,3,40,32,8, 01:15, 02:30, T R, LAFAYE, L100, Gennari J,,CRITICAL--RACE--&--ETHNIC--STUDIES,Spring 2020
ENGS 179, D2: African Drama,15275,3,40,21,19, 12:00, 12:50, M W F, LAFAYE, L100, Losambe L,,AFRICAN--STUDIES,Spring 2020
ENGS 182, D2:Black Identities,95549,3,40,16,24, 11:40, 12:55, T R, ML SCI,235, Losambe L,,AFRICAN--STUDIES,Fall 2020
ENGS 188, Great Lyric Poems:19th/20th Ce,15450,3,75,34,41, 01:15, 02:30, T R, L/L CM,315, Gutman H, Prereqs enforced by the system: 3 hrs  ENGS between 005-096 and Minimum  Sophomore Standing,ENGLISH,Spring 2018
ENGS 195, Playwriting and Dramatic Forms,95950,3,16,6, 0*XL, 02:50, 04:05, T R, RT THR,210, Ramos G, Cross listed with THE 170 A; Max  combined enrollment 16,ENGLISH,Fall 2019
ENGS 196, Shakespeare Performance Wrkshp,15746,1,20,10,10, TBA, TBA,, ONCMP, SEE NOTES, Barnaby A, Instructor permission required; Contact  department for location; Dates: Feb 10  - March 20,ENGLISH,Spring 2020
ENGS 201, Feminist Memory,95783,3,22,21,1, 04:35, 07:35, R, LAFAYE, L308, Bessette J," Prerequisites: ENGS 100; and one of the  following pairs of courses: ENGS 021  and ENGS 022, ENGS 023 and ENGS 024, or  ENGS 027 and ENGS 028; Instructor  permission for graduate students",ENGLISH,Fall 2018
ENGS 211, Protest and Persuasion,95554,3,22,17, 1*XL, 04:05, 07:05, W, REMOTE, COURSE, Welch N," Prereqs enforced by the system: ENGS  100; ENGS 050 or ENGS 051 or ENGS 053;  and one of the following pairs of  courses: ENGS 021 and ENGS 022, ENGS  023 and ENGS 024, or ENGS 027 and ENGS  028; Cross listed with GSWS 295 B;  Total combined enrollment = 22",ENGLISH,Fall 2020
ENGS 212, Capstone Seminar in Writing,14130,3,22,22,0, 04:05, 07:05, M, L/L-A, A161, Baruth P," Prereqs enforced by the system: ENGS  100; ENGS 050 or ENGS 051 or ENGS 053;  & one of the following pairs of  courses: ENGS 021 & 022, ENGS 023 & 024  or ENGS 027 & 028; Instructor  permission for Graduate students.",ENGLISH,Spring 2019
ENGS 221, Doubt and Knowledge,94060,3,22,22,0, 04:05, 07:05, W, OMANEX, A206, Sisk J," Prereqs: ENGS 100 and one of the  following pairs of courses: ENGS 021 &  022, ENGS 023 & 024 or ENGS 027 & 028;  See instructor for override if you have  taken ENGS 086; Junior or Senior  standing only; Instructor Permission  for graduate students",ENGLISH,Fall 2017
ENGS 222, A History of the Book,15391,3,22,21,1, 04:35, 07:35, T, OMANEX, A206, Fenton E," Pre-reqs enforced by the system: ENGS  100; and one of the following pairs of  courses: ENGS 021 and ENGS 022, ENGS  023 and ENGS 024, or ENGS 027 and ENGS  028; Instructor permission for graduate  students",ENGLISH,Spring 2020
ENGS 241, The Shelley Circle,95152,3,22,23,-1, 04:35, 07:35, T, WATERM,455, Lindstrom E," Prereqs: ENGS 100 and one of the  following pairs of courses: ENGS 021 &  022, ENGS 023 & 024, or ENGS 027 & 028;  Instructor permission for graduate  students",ENGLISH,Fall 2018
ENGS 242, Romantic Poetry & Poetics,15452,3,22,14,8, 04:05, 07:05, W, JEFFRD,112, Lindstrom E," Prereqs: ENGS 100 and one of the  following pairs of courses: ENGS 021 &  022, ENGS 023 & 024 or ENGS 027 & 028;  Instructor permission for graduate  students",ENGLISH,Spring 2018
ENGS 252, The Rise ofthe Modernist Novel,15701,3,18,15,3, 04:05, 07:05, W, OMANEX, A304, Fogel D," Pre-reqs: ENGS 100; and one of the  following pairs of courses: ENGS 021  and ENGS 022, ENGS 023 and ENGS 024, or  ENGS 027 and ENGS 028; Instructor  permission for graduate students",ENGLISH,Spring 2019
ENGS 281, D2:Border Fictions,95552,3,24,24,0, 04:35, 07:35, T, REMOTE, COURSE, Scott H," Prereqs enforced by the system: ENGS  100 and one of the following pairs of  courses: ENGS 021/022, ENGS 023/024 or  ENGS 027/028",ENGLISH,Fall 2020
ENGS 282, Food & American Culture,15277,3,22,22,0, 04:35, 07:35, T, OLDMIL,523, Gennari J," Pre-reqs enforceed by the system: ENGS  100; and one of the following pairs of  courses: ENGS 021 and ENGS 022, ENGS  023 and ENGS 024, or ENGS 027 and ENGS  028; Instructor permission for graduate  students",ENGLISH,Spring 2020
ENGS 295, D2:SL:Travel Wrtng: Sri Lanka,15711,3,1,1, 0*XL, TBA, TBA,, TRAVEL, COURSE, Miles E," Winter Session Travel Course Dates: 12/  26/18-1/11/19; Travel Dates: 12/26/18-1/  12/2019; Location: Sri Lanka;  Instructor permission required; Program  Fee: $2,521.00; Open to CDE and Degree  students; Pre & Post work required;  Cross listed with ENGS 095 WW1 & ENGS  195 WW1",ENGLISH,Spring 2019
ENGS 320, Postcolonial Shakespeare,15279,3,18,17,1, 04:35, 07:35, T, OMANEX, A303, Scott H, Graduate Standing Only,ENGLISH,Spring 2020
ENGS 330, The Book of Mormon & Its World,95551,3,18,7,11, 04:35, 07:35, R, REMOTE, COURSE, Fenton E, Graduate Students Only,ENGLISH,Fall 2020
ENGS 340, Rhetoric and Social Justice,15281,3,18,11,7, 04:05, 07:05, W, ONCMP, SEE NOTES, Welch N, Graduate Standing or Instructor  permission Course meets in Howe Library  302.,ENGLISH,Spring 2020
ENGS 345, Practicum in Teaching Writing,91288,3,10,9,1, 02:50, 04:05, T R, COHEN,119, Bessette J, Graduate students only,ENGLISH,Fall 2020
ENGS 350, Surv of Lit Theory & Criticism,93406,3,18,15,3, 04:35, 07:35, T, REMOTE, COURSE, McGowan T, Graduate students only,ENGLISH,Fall 2020
ENGS 360, Morrison and Walker,95550,3,18,11,7, 04:05, 07:05, W, REMOTE, COURSE, Kete M, Graduate Students Only,ENGLISH,Fall 2020
ENGS 398, Teaching Practicum Continued,93159,3,10,3,7, TBA, TBA,, TBA, TBA, Bessette J, Prereqs enforced by the system: ENGS  345; Graduate standing,ENGLISH,Fall 2020
ENSC 001, SU: Intro Environmental Sci,90338,3,74,61,13, 01:15, 02:30, T, REMOTE, COURSE, Pontius J, ENSC majors only; Open to Degree and  CDE students,ENVIRONMENTAL--SCIENCES,Fall 2020
ENSC 009, Orientation to Env Sciences,91232,1,124,91,33, TBA, TBA,, ONLINE, COURSE, Pontius J, 1st yr ENSC majors in CALS/RSENR only,ENVIRONMENTAL--SCIENCES,Fall 2020
ENSC 095, Environmental Seminar,15021,1,32,14,18, 04:00, 05:00, W, DELEHA,219, Mehrtens C, CAS ENSC first year majors only,ENVIRONMENTAL--SCIENCES,Spring 2017
ENSC 130, Global Environmental Assessmnt,91515,3,124,111,13, 02:20, 03:10, W F, REMOTE, COURSE, Galford G," Must reg for ENSC lab A01, A02, A03,  A04,A05; ENSC majors only",ENVIRONMENTAL--SCIENCES,Fall 2020
ENSC 160," Pollutant Mvmt/Air,Land&Water",90340,4,117,105, 12*XL, 01:15, 02:30, T R, REMOTE, COURSE, Perdrial J, Prereqs enforced by the system: ENSC  001 & BCOR 11/12 or BIOL 001/002 & CHEM  31/32 & MATH 19/20 or 21/22; Must  register for an ENSC 160 lab; ENSC  majors only; Minimum Junior standing,ENVIRONMENTAL--SCIENCES,Fall 2020
ENSC 185, Biogeography,95734,3,28,2, 4*XL, 10:05, 11:20, T R, HILLS,122, Rayback S, Pre req: GEOG 040; Cross listed with  GEOG 140 A Total combined enrollment =  40,ENVIRONMENTAL--SCIENCES,Fall 2020
ENSC 201, Recovry&RestorAlteredEcosys,12758,4,60,72,-12, 10:50  01:10  04:05, 11:40  04:00  05:15, M F  W  W, AIKEN  STAFFO  ONCMP, 102  101  SEE NOTES, Keeton W, Prereqs enforced by the system: ENSC  160 & NR 103 or BCOR 102; Lab meeting  takes place off-campus; Juniors and  Seniors only,ENVIRONMENTAL--SCIENCES,Spring 2020
ENSC 202, Appld Envir Assess Analysis,12759,4,75,74,1, 01:15  04:25, 02:30  05:15, T R  T, HILLS  HILLS, 122  122, Williams C, Title: Applied Environmental Assessment  and Analysis,ENVIRONMENTAL--SCIENCES,Spring 2020
ENSC 274, SU:Climate Chg: Sci & Percept,15487,3,35,13,22, 11:40, 12:55, T R, AIKEN,103, Adair E, Prereqs enforced by the system: BCOR  102 or NR 103,ENVIRONMENTAL--SCIENCES,Spring 2020
ENSC 295, Advanced Topics:Snow Hydrology,15416,3,20,6, 2*XL, 12:00, 03:00, F, OMANEX, A202, Wemple B, Prereq: GEOG 040 or ENSC 001; minimum  Junior standing; Cross-listed with GEOG  246; total combined enrollment=20  Course fee: $70,ENVIRONMENTAL--SCIENCES,Spring 2020
ENSC 299, Environmental Sciences Honors,90564, 1.00-6.00,10,8,2, TBA, TBA,, TBA, TBA, Pontius J  Bowden W  Keeton W  Adair E  Galford G, Program Chair permission (via  application) required; Contact  instructor for application & meeting  location/time,ENVIRONMENTAL--SCIENCES,Fall 2020
ENVS 001, SU: Intro to Envrnmtl Studies,90129,4,205,184, 21*XL, 10:50, 11:40, M W F, IRA CH, I201, Seidl A, Must register for a lab; Degree  students only even after level  restrictions removed; CDE students  register for ENVS 001 ZRA,ENVIRONMENTAL--STUDIES,Fall 2020
ENVS 002, D2:SU:International Env Stdies,10248,4,210,222,-12, 09:40, 10:30, M W F, ML SCI,235, Fisher B, Must register for an ENVS 002  discussion section; Open to Degree and  CDE students,ENVIRONMENTAL--STUDIES,Spring 2020
ENVS 095, SU:Sustainable Vermont,94471,3,75,13, 3*XL, 02:50, 04:05, T R, HILLS,122, Watts R, Cross listed with VS 052 and GEOG 095 B;  Open to Degree and CDE students;  Maximum combined enrollment is 75,ENVIRONMENTAL--STUDIES,Fall 2019
ENVS 101, Academic Planning Workshop,93100,1,57,72, -16*XL, 01:10, 02:00, W, FLEMIN,101, Fisher B, Prereqs enforced by the system: ENVS  001 & 002; ENVS majors only,ENVIRONMENTAL--STUDIES,Fall 2020
ENVS 107, SU:Human Health & Envirnmt,92519,3,59,35, 1*XL, 04:05, 07:05, M, REMOTE, COURSE, Vatovec C," Cross listed with NR 107 A, HLTH 107 A;  Open to Degree and CDE students",ENVIRONMENTAL--STUDIES,Fall 2020
ENVS 137, SL:Landscape Dsgn Fundamentals,95606,4,40,2, 0*XL, 01:10  02:01, 02:00  03:45, M W  M W, AIKEN  ONCMP, 110  SEE NOTES, Hurley S  White A," Prereq: One course in drawing, design  or mapping; Minimum Junior standing;  Cross listed with NR 137 A, PSS 137 A,  CDAE 137; Combined total enrollment 40;  Lab 2:00-3:45 meets in Marsh Life  Science 126, 128 and 129; Instr perm  required (email aresnik@uvm.edu for  override)",ENVIRONMENTAL--STUDIES,Fall 2020
ENVS 141, Intro to Ecological Economics,91336,3,84,74, 2*XL, 02:50, 04:05, T R, REMOTE, COURSE, Erickson J, Minimum sophomore standing; Cross  listed with NR 141 A,ENVIRONMENTAL--STUDIES,Fall 2020
